Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
C10ORF95-AS1		10q24.32	AMP	1	571	0.2%	No
OR7E2P		11q14.2	AMP	16	571	2.8%	No
RNU4-40P		20q11.23	AMP	39	571	6.8%	No
LINC02607		1p21.3	AMP	8	571	1.4%	No
RNA5SP322		10q23.1	AMP	2	571	0.4%	No
SLC4A10		2q24.2	AMP	16	571	2.8%	No
SI		3q26.1	AMP	77	571	13.5%	No
ANKRD44-AS1		2q33.1	AMP	16	571	2.8%	No
TRAPPC6B		14q21.1	AMP	6	571	1.1%	No
SEPHS1P7		2q14.1	AMP	9	571	1.6%	No
FBXO36		2q36.3	AMP	7	571	1.2%	No
RNU6-66P		13q22.1	AMP	10	571	1.8%	No
LINC02453		12q23.1	AMP	1	571	0.2%	No
LINC00353		13q31.3	HOMDEL	1	571	0.2%	No
ARMC5		16p11.2	AMP	2	571	0.4%	No
RPL10P18		8p12	HOMDEL	1	571	0.2%	No
SULT2A1		19q13.33	AMP	5	571	0.9%	No
RNA5SP325		10q25.1	AMP	1	571	0.2%	No
XRRA1		11q13.4	AMP	20	571	3.5%	No
LINC00910		17q21.31	AMP	2	571	0.4%	No
RNU7-79P		15q25.3	AMP	8	571	1.4%	No
FAM47E		4q21.1	AMP	12	571	2.1%	No
RNASEH2C		11q13.1	AMP	9	571	1.6%	No
VPS51P1		16p13.3	AMP	8	571	1.4%	No
NCKAP1L		12q13.13-q13.2	AMP	10	571	1.8%	No
SLC35D1		1p31.3	AMP	5	571	0.9%	No
LINC02459		12q24.21	AMP	2	571	0.4%	No
RNA5SP171		4q32.3	AMP	1	571	0.2%	No
GABRB3		15q12	AMP	1	571	0.2%	No
DYM		18q21.1	AMP	2	571	0.4%	No
OR4N2		14q11.2	HOMDEL	2	571	0.4%	No
APCDD1		18p11.22	AMP	8	571	1.4%	No
RPL36AP4		14q32.12	AMP	2	571	0.4%	No
LINC00911		14q31.3	AMP	3	571	0.5%	No
RNA5SP324		10q24.1	AMP	2	571	0.4%	No
RNASEH2B		13q14.3	AMP	4	571	0.7%	Yes
RNU6ATAC13P		4q33	AMP	2	571	0.4%	No
HEPN1		11q24.2	AMP	7	571	1.2%	No
ST8SIA5-DT		18q21.1	AMP	5	571	0.9%	No
PDCL2P2		11q13.1	AMP	6	571	1.1%	No
KRT8P45		1q23.1	AMP	17	571	3.0%	No
LINC00351		13q31.1	HOMDEL	2	571	0.4%	No
IL36G		2q14.1	AMP	8	571	1.4%	No
LINC02458		12q21.33	AMP	4	571	0.7%	No
ASH2LP3		22q11.22	AMP	6	571	1.1%	No
GABRB2		5q34	AMP	4	571	0.7%	No
MLC1		22q13.33	HOMDEL	1	571	0.2%	No
FBXO38		5q32	AMP	3	571	0.5%	No
RNA5SP170		4q32.3	AMP	1	571	0.2%	No
RNASEH2A		19p13.13	AMP	54	571	9.5%	Yes
IFNLR1		1p36.11	AMP	4	571	0.7%	No
OR4N4		15q11.2	HOMDEL	2	571	0.4%	No
LINC02457		12q24.22	AMP	4	571	0.7%	No
ARMC3		10p12.2	AMP	22	571	3.9%	No
HMBOX1-IT1		8p12	HOMDEL	1	571	0.2%	No
CIAO2AP2		1q42.13	AMP	22	571	3.9%	No
FAM136EP		22q13.31	AMP	2	571	0.4%	No
IGHV2-70		14q32.33	AMP	19	571	3.3%	No
RNA5SP327		10q25.2	AMP	2	571	0.4%	No
FBXO39		17p13.1	AMP	3	571	0.5%	No
CPB1		3q24	AMP	51	571	8.9%	No
CPB2		13q14.13	AMP	5	571	0.9%	No
LINC02456		12q23.2	AMP	2	571	0.4%	No
H2BC20P		1q21.2	AMP	40	571	7.0%	No
RNF217		6q22.31	AMP	7	571	1.2%	No
ARMC2		6q21	AMP	7	571	1.2%	No
ASH2LP2		22q11.22	AMP	6	571	1.1%	No
RNU6-1235P		15q11.2	HOMDEL	2	571	0.4%	No
ZNF965P		13q11	AMP	4	571	0.7%	No
OASL		12q24.31	AMP	6	571	1.1%	No
RNU6-274P		7q21.13	AMP	13	571	2.3%	No
PIK3IP1		22q12.2	AMP	9	571	1.6%	No
KRT8P44		6q26	AMP	4	571	0.7%	No
RNA5SP172		4q34.3	AMP	3	571	0.5%	No
RNA5SP326		10q25.1	AMP	1	571	0.2%	No
CIAO2AP1		3p24.1	AMP	3	571	0.5%	No
TRMT1		19p13.13	AMP	64	571	11.2%	No
GLRX3P2		6p25.2	AMP	19	571	3.3%	No
GJA4		1p34.3	AMP	18	571	3.2%	No
CECR2		22q11.1-q11.21	AMP	6	571	1.1%	No
ARMC1		8q13.1	AMP	35	571	6.1%	No
CHAF1B		21q22.12-q22.13	AMP	6	571	1.1%	No
RNU6-1122P		2q32.1	AMP	20	571	3.5%	No
TUBGCP6		22q13.33	AMP	1	571	0.2%	No
RNU6-613P		2q36.3	AMP	7	571	1.2%	No
RNU6-81P		13q21.31	AMP	4	571	0.7%	No
IGHVII-53-1		14q32.33	AMP	19	571	3.3%	No
PRSS52P		8p23.1	HOMDEL	5	571	0.9%	No
RN7SL784P		17p13.2	AMP	3	571	0.5%	No
LINC02603		9q22.32	AMP	1	571	0.2%	No
KRTAP10-9		21q22.3	AMP	6	571	1.1%	No
OR10AH1P		7p22.1	AMP	6	571	1.1%	No
KRT8P43		6p22.3	AMP	22	571	3.9%	No
OVOL1-AS1		11q13.1	AMP	9	571	1.6%	No
TBC1D22A-DT		22q13.31	AMP	3	571	0.5%	No
GJA5		1q21.2	AMP	40	571	7.0%	No
GABRG2		5q34	HOMDEL	1	571	0.2%	No
RNU6-923P		5p13.2	AMP	34	571	6.0%	No
STARD7-AS1		2q11.2	AMP	16	571	2.8%	No
TRBV26		7q34	AMP	26	571	4.6%	No
SEPHS1P2		15q26.1	AMP	7	571	1.2%	No
LIMCH1		4p13	AMP	3	571	0.5%	No
PRMT5P1		4q31.22	AMP	5	571	0.9%	No
ZEB1-AS1		10p11.22	AMP	19	571	3.3%	No
IFT74		9p21.2	AMP	8	571	1.4%	No
KRT8P42		6q23.2	AMP	4	571	0.7%	No
IL36A		2q14.1	AMP	8	571	1.4%	No
NUBPL		14q12	AMP	3	571	0.5%	No
OR5AM1P		11q12.1	AMP	3	571	0.5%	No
MTCO2P16		2q33.1	AMP	12	571	2.1%	No
ANKMY2		7p21.1	AMP	12	571	2.1%	No
TMEM97P2		8p21.3	HOMDEL	1	571	0.2%	No
LINC01048		13q13.3	AMP	3	571	0.5%	No
NFYC		1p34.2	AMP	34	571	6.0%	No
TRBV27		7q34	AMP	26	571	4.6%	No
RNU6-259P		2q14.3	AMP	6	571	1.1%	No
SEPHS1P1		7q11.21	AMP	10	571	1.8%	No
C2ORF78		2p13.1	HOMDEL	1	571	0.2%	No
RPS2P6		18q22.2	AMP	3	571	0.5%	No
ZNF566-AS1		19q13.12	AMP	47	571	8.2%	No
SLC35D3		6q23.3	AMP	3	571	0.5%	No
LINC01049		13q31.3	AMP	7	571	1.2%	No
SEC16B		1q25.2	AMP	13	571	2.3%	No
TRBV28		7q34	AMP	26	571	4.6%	No
IL36B		2q14.1	AMP	10	571	1.8%	No
RNU7-123P		1p31.3	AMP	8	571	1.4%	No
ANKMY1		2q37.3	AMP	10	571	1.8%	No
CHAF1A		19p13.3	AMP	1	571	0.2%	No
KRT8P40		2q31.2	AMP	23	571	4.0%	No
LINC02600		4p16.3	AMP	9	571	1.6%	No
GABRB1		4p12	AMP	5	571	0.9%	No
CECR3		22q11.1	AMP	6	571	1.1%	No
RNU4ATAC12P		12q24.33	HOMDEL	1	571	0.2%	No
YAE1-DT		7p14.1	AMP	9	571	1.6%	No
GJA3		13q12.11	AMP	3	571	0.5%	No
RPS2P7		20q13.12	AMP	43	571	7.5%	No
KRT8P9		15q23	AMP	5	571	0.9%	No
FAM153DP		16p11.2	AMP	3	571	0.5%	No
KRTAP10-8		21q22.3	AMP	6	571	1.1%	No
MTCO2P15		11q22.3	AMP	10	571	1.8%	No
MTCO2P11		9p24.1	AMP	8	571	1.4%	No
SHPRH		6q24.3	AMP	4	571	0.7%	No
PBX3-DT		9q33.3	AMP	2	571	0.4%	No
RPS2P4		14q32.33	AMP	13	571	2.3%	No
KRTAP10-6		21q22.3	AMP	6	571	1.1%	No
LINC02606		1p36.22	AMP	8	571	1.4%	No
ADK		10q22.2	AMP	11	571	1.9%	No
TMEM147-AS1		19q13.12	AMP	48	571	8.4%	No
SEPHS1P6		2q33.1	AMP	14	571	2.5%	No
BSNDP4		7p11.2	AMP	10	571	1.8%	No
RNU6-1107P		11q23.2	AMP	5	571	0.9%	No
ST3GAL2		16q22.1	AMP	2	571	0.4%	No
TARS1-DT		5p13.3	AMP	32	571	5.6%	No
ACMSD		2q21.3	AMP	5	571	0.9%	No
KRT16P3		17p11.2	HOMDEL	3	571	0.5%	No
LBX2-AS1		2p13.1	AMP	15	571	2.6%	No
RPS2P5		12q24.23	AMP	3	571	0.5%	No
LINC02605		8q21.13	AMP	34	571	6.0%	No
CPLX3		15q24.1	AMP	4	571	0.7%	No
KRTAP10-7		21q22.3	AMP	6	571	1.1%	No
LRTOMT		11q13.4	AMP	15	571	2.6%	No
MTCO2P10		7p11.2	AMP	12	571	2.1%	No
PACS1		11q13.1-q13.2	AMP	9	571	1.6%	No
FMN1		15q13.3	HOMDEL	1	571	0.2%	No
LINC02451		12q12	AMP	16	571	2.8%	No
FAM86C1P		11q13.4	AMP	15	571	2.6%	No
GJA1		6q22.31	AMP	5	571	0.9%	No
ST3GAL1		8q24.22	AMP	117	571	20.5%	No
TRMT6		20p12.3	AMP	27	571	4.7%	No
KRT16P4		17p11.2	HOMDEL	29	571	5.1%	No
EGOT		3p26.1	AMP	5	571	0.9%	No
BSNDP3		20p11.1	AMP	29	571	5.1%	No
HGFAC		4p16.3	AMP	9	571	1.6%	No
RPLP2P1		6p22.1	AMP	20	571	3.5%	No
AFF1		4q21.3-q22.1	AMP	2	571	0.4%	Yes
RNU6-879P		12q13.3	AMP	7	571	1.2%	No
LINC02604		7q11.21	AMP	11	571	1.9%	No
CECR7		22q11.1	AMP	6	571	1.1%	No
KRT8P7		11q23.3	AMP	7	571	1.2%	No
BSNDP2		20p11.1	AMP	28	571	4.9%	No
ST3GAL3		1p34.1	AMP	24	571	4.2%	No
ADAM20P3		4q35.2	HOMDEL	1	571	0.2%	No
LINC02450		12q12	AMP	16	571	2.8%	No
KRT16P5		17p11.2	HOMDEL	3	571	0.5%	No
BRCC3P1		5q35.2	AMP	6	571	1.1%	No
RN7SL164P		13q32.1	AMP	8	571	1.4%	No
KRTAP10-4		21q22.3	AMP	6	571	1.1%	No
TNK2		3q29	AMP	65	571	11.4%	No
MPC1-DT		6q27	AMP	3	571	0.5%	No
RPL36AP9		1p34.2	AMP	32	571	5.6%	No
RNA5SP320		10q22.2	AMP	7	571	1.2%	No
RN7SL474P		8p22	AMP	3	571	0.5%	No
CARD11		7p22.2	AMP	9	571	1.6%	Yes
OPN4		10q23.2	HOMDEL	2	571	0.4%	No
CARD10		22q13.1	AMP	8	571	1.4%	No
BSNDP1		20p11.1	AMP	28	571	4.9%	No
MTCO2P12		1p36.33	AMP	11	571	1.9%	No
RIPPLY2		6q14.2	AMP	13	571	2.3%	No
KRTAP10-5		21q22.3	AMP	6	571	1.1%	No
RAB11FIP5		2p13.2	AMP	14	571	2.5%	No
TNK1		17p13.1	AMP	4	571	0.7%	No
GTF2IRD2B		7q11.23	AMP	7	571	1.2%	No
CPLX2		5q35.2	AMP	5	571	0.9%	No
RBM11P1		6q23.2	AMP	3	571	0.5%	No
ROS1		6q22.1	AMP	4	571	0.7%	Yes
PHACTR3-AS1		20q13.32	AMP	55	571	9.6%	No
UNC93B3		3p12.3	AMP	10	571	1.8%	No
USP17L22		4p16.1	AMP	8	571	1.4%	No
SARS2		19q13.2	AMP	60	571	10.5%	No
ARL2BP		16q13	AMP	1	571	0.2%	No
TMEM191A		22q11.21	AMP	10	571	1.8%	No
CELF2-DT		10p14	AMP	20	571	3.5%	No
MRPS18A		6p21.1	AMP	25	571	4.4%	No
ISCA1P3		17q22	AMP	3	571	0.5%	No
RN7SL474P		8p22	HOMDEL	1	571	0.2%	No
OPN4		10q23.2	AMP	1	571	0.2%	No
KCTD13-DT		16p11.2	AMP	2	571	0.4%	No
GUCA1A		6p21.1	AMP	23	571	4.0%	No
ADAM20P2		4q34.2	AMP	3	571	0.5%	No
ADO		10q21.3	AMP	8	571	1.4%	No
TBPL1		6q23.2	AMP	4	571	0.7%	No
OR4G11P		1p36.33	AMP	11	571	1.9%	No
GABRG3		15q12	AMP	1	571	0.2%	No
ADAM20P3		4q35.2	AMP	1	571	0.2%	No
USP17L23		4p16.1	AMP	8	571	1.4%	No
LINC01910		18q22.2	AMP	3	571	0.5%	No
ISCA1P2		1q42.13	AMP	25	571	4.4%	No
UNC93B4		4p16.3	AMP	8	571	1.4%	No
KRT16P5		17p11.2	AMP	1	571	0.2%	No
TBPL2		14q22.3	AMP	1	571	0.2%	No
SARS1		1p13.3	AMP	9	571	1.6%	No
PTGES3L-AARSD1		17q21.31	AMP	1	571	0.2%	No
OPN5		6p12.3	AMP	21	571	3.7%	No
CARD11		7p22.2	HOMDEL	1	571	0.2%	Yes
UPF3A		13q34	AMP	7	571	1.2%	No
LINC00355		13q21.31	AMP	4	571	0.7%	No
FILNC1		6q24.1	AMP	3	571	0.5%	No
ZNF800		7q31.33	AMP	14	571	2.5%	No
RN7SL164P		13q32.1	HOMDEL	1	571	0.2%	No
RPS18P5		3q12.3	AMP	20	571	3.5%	No
LINC00358		13q21.31	AMP	4	571	0.7%	No
OR10V1		11q12.1	AMP	1	571	0.2%	No
MRPS18B		6p21.33	AMP	18	571	3.2%	No
TMEM191B		22q11.21	AMP	4	571	0.7%	No
CCDC122		13q14.11	AMP	5	571	0.9%	No
SAP30L		5q33.2	AMP	2	571	0.4%	No
FMN1		15q13.3	AMP	1	571	0.2%	No
UNC93B5		11q13.2	AMP	9	571	1.6%	No
TMEM97P1		21q22.3	AMP	6	571	1.1%	No
EIPR1		2p25.3	AMP	11	571	1.9%	No
SLC28A1		15q25.3	AMP	8	571	1.4%	No
CLN3		16p12.1	AMP	2	571	0.4%	No
CCDC121		2p23.3	AMP	14	571	2.5%	No
MARK2P19		3q21.3	AMP	19	571	3.3%	No
TMF1P1		16p13.12	AMP	7	571	1.2%	No
RPS18P6		3q11.2	AMP	26	571	4.6%	No
USP17L21		4p16.1	AMP	8	571	1.4%	No
KRT16P3		17p11.2	AMP	1	571	0.2%	No
PXDN		2p25.3	AMP	13	571	2.3%	No
MRPS18C		4q21.23	AMP	1	571	0.2%	No
GJC3		7q22.1	AMP	12	571	2.1%	No
OR8D4		11q24.1	AMP	5	571	0.9%	No
GTF2IP20		1q42.11	AMP	20	571	3.5%	No
CYP4F36P		19p13.12	AMP	58	571	10.2%	No
TXNL4A		18q23	AMP	2	571	0.4%	No
UNC93B6		11q13.4	AMP	15	571	2.6%	No
FMN2		1q43	AMP	33	571	5.8%	No
ADK		10q22.2	HOMDEL	1	571	0.2%	No
OPN3		1q43	AMP	29	571	5.1%	No
ADAM20P1		14q24.2	AMP	1	571	0.2%	No
SHPRH		6q24.3	HOMDEL	1	571	0.2%	No
NUCB1		19q13.33	AMP	5	571	0.9%	No
SLIT3-AS1		5q35.1	AMP	3	571	0.5%	No
DEFB121		20q11.21	AMP	44	571	7.7%	No
ISCA1P6		2q14.3	AMP	9	571	1.6%	No
HPD		12q24.31	AMP	7	571	1.2%	No
RN7SL555P		20p13	AMP	33	571	5.8%	No
RPL10P11		7q21.11	AMP	20	571	3.5%	No
IAPP		12p12.1	AMP	65	571	11.4%	No
RNU4ATAC12P		12q24.33	AMP	3	571	0.5%	No
CUTC		10q24.2	AMP	1	571	0.2%	No
POU5F1P5		10q21.3	AMP	2	571	0.4%	No
MTRF1		13q14.11	AMP	4	571	0.7%	No
SLC28A3		9q21.32-q21.33	AMP	2	571	0.4%	No
TTC36-AS1		11q23.3	AMP	9	571	1.6%	No
LINC01912		18q22.1	AMP	4	571	0.7%	No
SDCBP2-AS1		20p13	AMP	32	571	5.6%	No
RN7SL865P		12q24.21	AMP	3	571	0.5%	No
RASGEF1B		4q21.21	AMP	4	571	0.7%	No
RPL10P12		12q15	AMP	19	571	3.3%	No
DEFB122		20q11.21	AMP	44	571	7.7%	No
CLMN		14q32.13	AMP	3	571	0.5%	No
BTBD1		15q25.2	AMP	5	571	0.9%	No
RASGEF1C		5q35.3	AMP	5	571	0.9%	No
C2ORF78		2p13.1	AMP	14	571	2.5%	No
CAPZA1P2		2q24.2	AMP	16	571	2.8%	No
RNU6-1250P		10q21.3	AMP	3	571	0.5%	No
SLIT3-AS2		5q34	AMP	3	571	0.5%	No
GJC2		1q42.13	AMP	22	571	3.9%	No
TXNP1		10q26.11	AMP	5	571	0.9%	No
USP17L20		4p16.1	AMP	8	571	1.4%	No
CLEC2L		7q34	AMP	27	571	4.7%	No
IL36A		2q14.1	HOMDEL	1	571	0.2%	No
TMEM97P2		8p21.3	AMP	1	571	0.2%	No
DUOX1		15q21.1	AMP	1	571	0.2%	No
ANKMY2		7p21.1	HOMDEL	1	571	0.2%	No
POU5F1P4		1q22	AMP	23	571	4.0%	No
SLC35D2		9q22.32	HOMDEL	1	571	0.2%	No
LINC01913		2p21	AMP	11	571	1.9%	No
PIM1		6p21.2	AMP	21	571	3.7%	Yes
SLC28A2		15q21.1	AMP	1	571	0.2%	No
ANKRD20A2P		9p11.2	AMP	8	571	1.4%	No
ABI1P1		14q22.3	AMP	1	571	0.2%	No
UNC93B1		11q13.2	AMP	11	571	1.9%	No
IFT74		9p21.2	HOMDEL	3	571	0.5%	No
POU5F1P7		3q11.2	AMP	22	571	3.9%	No
GUCA1C		3q13.13	AMP	32	571	5.6%	No
GTF2IP22		14q11.2	AMP	31	571	5.4%	No
TBRG4		7p13	AMP	5	571	0.9%	No
SGCEP1		2q22.3	AMP	8	571	1.4%	No
CAPZA1P5		7q35	AMP	29	571	5.1%	No
RNU6-506P		4q31.1	AMP	5	571	0.9%	No
TXNP2		1p31.2	AMP	7	571	1.2%	No
TBC1D22A-DT		22q13.31	HOMDEL	1	571	0.2%	No
GABRG2		5q34	AMP	4	571	0.7%	No
PINK1-AS		1p36.12	AMP	1	571	0.2%	No
RPS18P9		6q25.1	AMP	3	571	0.5%	No
UNC93B2		7p22.1	AMP	8	571	1.4%	No
GUCA1B		6p21.1	AMP	23	571	4.0%	No
COX6C		8q22.2	AMP	41	571	7.2%	No
BTBD3		20p12.2	AMP	30	571	5.3%	No
GTF2IP23		7q11.21	AMP	11	571	1.9%	No
POU5F1P6		3q21.3	AMP	20	571	3.5%	No
C2ORF76		2q14.2	AMP	9	571	1.6%	No
PRSS52P		8p23.1	AMP	1	571	0.2%	No
CAPZA1P4		7q32.3	AMP	19	571	3.3%	No
OR10AH1P		7p22.1	HOMDEL	3	571	0.5%	No
TUBGCP6		22q13.33	HOMDEL	1	571	0.2%	No
CLMP		11q24.1	AMP	6	571	1.1%	No
LINC01911		2q22.3	AMP	9	571	1.6%	No
RASGEF1A		10q11.21	AMP	2	571	0.4%	Yes
OR10G5P		11q24.2	AMP	6	571	1.1%	No
GABRG1		4p12	AMP	4	571	0.7%	No
RPL10P10		6p12.1	AMP	16	571	2.8%	No
BRPF3		6p21.31	AMP	18	571	3.2%	No
POU5F1P2		8q22.3	AMP	45	571	7.9%	No
CCDC127		5p15.33	AMP	39	571	6.8%	No
KRT8P44		6q26	HOMDEL	2	571	0.4%	No
PSMD14-DT		2q24.2	AMP	17	571	3.0%	No
RNU6-1235P		15q11.2	AMP	5	571	0.9%	No
TCP11L1		11p13	AMP	9	571	1.6%	No
MARK2P15		10q23.1	AMP	5	571	0.9%	No
LARP4B		10p15.3	AMP	28	571	4.9%	Yes
SLC29A4P1		7p11.2	AMP	12	571	2.1%	No
CLN8		8p23.3	AMP	2	571	0.4%	No
DEFB125		20p13	AMP	35	571	6.1%	No
RNU6-662P		1q21.3	AMP	39	571	6.8%	No
SPEF1		20p13	AMP	28	571	4.9%	No
RPL10P14		16q12.1	AMP	2	571	0.4%	No
KIAA1614-AS1		1q25.3	AMP	17	571	3.0%	No
RNU6-352P		1p21.1	AMP	10	571	1.8%	No
ZNF22-AS1		10q11.21	AMP	1	571	0.2%	No
OR4N5		14q11.2	AMP	32	571	5.6%	No
OASL		12q24.31	HOMDEL	1	571	0.2%	No
RNU2-2P		11q12.3	AMP	2	571	0.4%	No
TLR6		4p14	AMP	1	571	0.2%	No
CCDC126		7p15.3	AMP	17	571	3.0%	No
PPIEL		1p34.3	AMP	37	571	6.5%	No
C12ORF42		12q23.2	AMP	1	571	0.2%	No
TMEM176B		7q36.1	AMP	25	571	4.4%	No
MARK2P14		3p25.2	AMP	5	571	0.9%	No
CCNE1		19q12	AMP	111	571	19.4%	Yes
DDX10P2		9q21.32	AMP	3	571	0.5%	No
OR4N4		15q11.2	AMP	5	571	0.9%	No
RPL10P15		19p13.2	AMP	35	571	6.1%	No
HMBOX1-IT1		8p12	AMP	2	571	0.4%	No
RNA5SP167		4q31.23	AMP	2	571	0.4%	No
ASH2LP3		22q11.22	HOMDEL	1	571	0.2%	No
DEFB126		20p13	AMP	35	571	6.1%	No
GFM1		3q25.32	AMP	43	571	7.5%	No
HOXC12		12q13.13	AMP	12	571	2.1%	No
CCNE2		8q22.1	AMP	37	571	6.5%	No
BRPF1		3p25.3	AMP	7	571	1.2%	No
MARK2P13		7p14.2	AMP	10	571	1.8%	No
MPP7-DT		10p12.1	AMP	17	571	3.0%	No
RNA5SP169		4q31.3	AMP	2	571	0.4%	No
RPL10P13		12q21.2	AMP	8	571	1.4%	No
LINC00351		13q31.1	AMP	8	571	1.4%	No
DEFB123		20q11.21	AMP	44	571	7.7%	No
MRGPRF-AS1		11q13.3	AMP	13	571	2.3%	No
SLC29A4P2		7q11.21	AMP	14	571	2.5%	No
TLR9		3p21.2	AMP	6	571	1.1%	No
MEIOB		16p13.3	AMP	8	571	1.4%	No
IL36G		2q14.1	HOMDEL	1	571	0.2%	No
FKBP14-AS1		7p14.3	AMP	9	571	1.6%	No
MARVELD1		10q24.2	AMP	2	571	0.4%	No
DUOX2		15q21.1	AMP	1	571	0.2%	No
GSPT1		16p13.13	AMP	6	571	1.1%	No
POU5F1P3		12p13.31	AMP	44	571	7.7%	No
RNA5SP170		4q32.3	HOMDEL	2	571	0.4%	No
RNA5SP171		4q32.3	HOMDEL	1	571	0.2%	No
HOXC13		12q13.13	AMP	12	571	2.1%	Yes
UBAP2L		1q21.3	AMP	21	571	3.7%	No
GFM2		5q13.3	AMP	2	571	0.4%	No
ZNF286A-TBC1D26		17p12	AMP	1	571	0.2%	No
OCIAD1-AS1		4p11	AMP	4	571	0.7%	No
OR4N2		14q11.2	AMP	62	571	10.9%	No
TCP11L2		12q23.3	AMP	2	571	0.4%	No
RNA5SP168		4q31.3	AMP	2	571	0.4%	No
TBRG1		11q24.2	AMP	7	571	1.2%	No
DEFB124		20q11.21	AMP	44	571	7.7%	No
SRC		20q11.23	AMP	36	571	6.3%	Yes
BTBD6		14q32.33	AMP	16	571	2.8%	No
LINC00504		4p15.33	AMP	4	571	0.7%	No
EXOSC3P2		19p13.2	AMP	18	571	3.2%	No
BACE2		21q22.2-q22.3	AMP	5	571	0.9%	No
DEFB128		20p13	AMP	36	571	6.3%	No
RPL10P18		8p12	AMP	3	571	0.5%	No
LINC00353		13q31.3	AMP	7	571	1.2%	No
CLN5		13q22.3	AMP	6	571	1.1%	No
HMGN3P1		1q21.3	AMP	35	571	6.1%	No
BTBD7		14q32.12	AMP	2	571	0.4%	No
SENP3-EIF4A1		17p13.1	AMP	4	571	0.7%	No
CYP24A1		20q13.2	AMP	47	571	8.2%	No
LINC00507		12q24.32	AMP	3	571	0.5%	No
CST11		20p11.21	AMP	27	571	4.7%	No
ADM5		19q13.33	AMP	7	571	1.2%	No
UBE3D		6q14.1	AMP	12	571	2.1%	No
HMGXB4		22q12.3	AMP	8	571	1.4%	No
CCT6A		7p11.2	AMP	12	571	2.1%	No
HOXC11		12q13.13	AMP	12	571	2.1%	Yes
RMND1		6q25.1	AMP	6	571	1.1%	No
BTBD8		1p22.1	AMP	13	571	2.3%	No
NRG1-IT3		8p12	AMP	2	571	0.4%	No
MARVELD3		16q22.2	AMP	1	571	0.2%	No
RN7SKP210		22q13.1	AMP	4	571	0.7%	No
CENPPP1		3p22.1	AMP	6	571	1.1%	No
LINC00352		13q12.12	AMP	4	571	0.7%	No
CLN6		15q23	AMP	4	571	0.7%	No
TMEM191C		22q11.21	AMP	7	571	1.2%	No
RN7SL386P		1p36.12	AMP	3	571	0.5%	No
MIR142HG		17q22	AMP	4	571	0.7%	No
DEFB129		20p13	AMP	36	571	6.3%	No
RNU6ATAC15P		3q13.13	AMP	32	571	5.6%	No
ITGA11		15q23	AMP	3	571	0.5%	No
RPL10P19		8p23.1	AMP	1	571	0.2%	No
REXO1L2P		8q21.2	AMP	33	571	5.8%	No
TLR3		4q35.1	AMP	2	571	0.4%	No
MARK2P18		6p25.3	AMP	20	571	3.5%	No
GPN3P1		10p12.1	AMP	17	571	3.0%	No
MLC1		22q13.33	AMP	1	571	0.2%	No
RPS21-DT		20q13.33	AMP	64	571	11.2%	No
MTREX		5q11.2	AMP	3	571	0.5%	No
KRT8P48		5q32	HOMDEL	1	571	0.2%	No
C12ORF43		12q24.31	AMP	6	571	1.1%	No
ITGA10		1q21.1	AMP	45	571	7.9%	No
TLR5		1q41	AMP	22	571	3.9%	No
BAAT		9q31.1	AMP	3	571	0.5%	No
INMT		7p14.3	AMP	10	571	1.8%	No
COL4A1		13q34	AMP	6	571	1.1%	No
CCT6B		17q12	AMP	1	571	0.2%	Yes
C11ORF86		11q13.2	AMP	8	571	1.4%	No
BTBD9		6p21.2	AMP	22	571	3.9%	No
OR2S2		9p13.3	AMP	7	571	1.2%	No
LYSETP1		5q14.3	HOMDEL	1	571	0.2%	No
MARK2P17		3q21.3	AMP	19	571	3.3%	No
SHQ1P1		10q11.23	AMP	3	571	0.5%	No
DDX10P1		10p11.23	AMP	19	571	3.3%	No
DEFB127		20p13	AMP	35	571	6.1%	No
RPL10P16		19p13.13	AMP	50	571	8.8%	No
LINC00354		13q34	AMP	7	571	1.2%	No
NLGN1		3q26.31	AMP	89	571	15.6%	No
OR5D15P		11q11	AMP	5	571	0.9%	No
RN7SL628P		15q13.2	HOMDEL	1	571	0.2%	No
ADM2		22q13.33	AMP	1	571	0.2%	No
EXOSC3P1		21q22.11	AMP	4	571	0.7%	No
BACE1		11q23.3	AMP	6	571	1.1%	No
LINC00508		12q24.32	AMP	2	571	0.4%	No
RN7SL318P		8p23.2	HOMDEL	7	571	1.2%	No
NRG1-IT1		8p12	AMP	3	571	0.5%	No
TLR4		9q33.1	AMP	3	571	0.5%	No
SRF		6p21.1	AMP	26	571	4.6%	No
CCDC124		19p13.11	AMP	38	571	6.7%	No
TMEM176A		7q36.1	AMP	25	571	4.4%	No
FKRP		19q13.32	AMP	6	571	1.1%	No
SPEF2		5p13.2	AMP	32	571	5.6%	No
MARK2P16		10q23.31	AMP	1	571	0.2%	No
HOXC10		12q13.13	AMP	13	571	2.3%	No
GNB1-DT		1p36.33	AMP	11	571	1.9%	No
RPL10P17		1p36.22	AMP	5	571	0.9%	No
PXDNL		8q11.22-q11.23	AMP	24	571	4.2%	No
TRIM39-RPP21		6p22.1	AMP	15	571	2.6%	No
NLGN2		17p13.1	AMP	4	571	0.7%	No
LINC02052		3q27.3	AMP	67	571	11.7%	No
H2AZ2-DT		7p13	AMP	7	571	1.2%	No
PTPRCAP		11q13.2	AMP	8	571	1.4%	No
